cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Jazmine Greenaway/William Tillett/Ellie Roberts/Megan Openshaw/Hannah Yates/Ellen Dennis/,Emma Fearon/Emily Wong/Becca Potts/Hannah Burne/James Barlow/Beth Carter/Zoe Robinson/Emma Fearon/Grace Fearon/Zoe Robinson/Isabelle Cadwallader/Danielle Mason/Rosanna Bell/Jade Braham/Alex Sterling/Esther Butterworth/Tom Proffitt/Nathan Penney/Rohanna Brown/Maddy Strauss/Zoe Smith/,2017-11-15,Euripides,by Euripides,by Euripides; Translated by Robin Robertson,15-19 November 2017,In House,Medea,show,New Theatre,2017-18
James Curling/Chris Sharp-Paul/Ted Marriott/Andrew Houghton/Zack Collins/Dom Bitten/Sam Morris/Rohan Rakhit/Michaela Green/Gigi George/Rachael Baines/Holly Shaw/Zach Jones/Ronan Sullivan/,George Waring/Kate O'Gorman/Beth Mullen/Jess Donn/Ben Woodford/Felicity Chilver/Sam Osborne/Aitor Tejo/Gemma Walton/Shahbhan Ramzan/Miguel Barrulas/Jakub Kolek/Jack Ellis/Nathan Penney/Zoe Smith/Rohanna Brown/Maddy Strauss/Adam Frankland/Miguel Barrulas/Charlotte Sanders/Lara Cowler/Tom Proffitt/Rohanna Brown/Darcey Graham/Esther Butterworth/Jack Ellis/Kate Maguire/Ed Eggleton/Zoe Smith/Steven Holkesvik/Ian Sheard/Joe Strickland/Nat Henderson/Harry Pavlou/Arthur Mckechnie/Louis Djalili/Sasha Gibson/Boo Jackson/Martin Lee/Rachael Johnson/,2017-12-12,Richard Bean,by Richard Bean,by Richard Bean,12-15 December 2017,In House,One Man/Two Guvnors,show,New Theatre,2017-18
Sasha Gibson/Anna Scholes/,Charlotte Sanders/Harry Pavlou/Tara Phillips/Hannah Burne/Jakub Kolek/Darcey Graham/Tom Proffitt/Harry Pavlou/Emily Dimino/Louis Djalili/Beth Wilson/Zoe Smith/Ben Woodford/Rohanna Brown/Max Miller/Callum Walker/,2017-11-01,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,1-4 November 2017,In House,Over There,show,New Theatre,2017-18
Jack Lahiff/Beth Carter/Morven Cameron/Katie Fortune/Rohan Rakhit/Sandra Jareno Ripoll/,Nat Henderson/Joe Strickland/Tom Lantink/Ben Woodford/Georgi Paxton/Joe Strickland/Tom Proffitt/Dom Bitten/,2017-11-20,Nat Henderson,by Nat Henderson,by Nat Henderson,20-21 November 2017,Fringe,Paper Cranes,show,New Theatre Studio A,2017-18
Boo Jackson/Louis Djalili/Beth Angella/Sally Johnston/,Sam Morris/Emily Sterling/Adam Frankland/Jess Donn/Adam Frankland/Stuart Ellis/Sam Morris/Boo Jackson/Harry Fleet/Toby Irwin/,2017-12-03,Nicola Wren,by Nicola Wren,by Nicola Wren,3-4 December 2017,Fringe,Replay,show,New Theatre Studio A,2017-18
Lucy Chandler/Emily Wightman/Charlotte Sanders/,Ted Marriott/Rosa Morgan/Laura Wolczyk/Ian Webster/Adam Frankland/Esther Butterworth/Olivia Morel/Sam Morris/Beth Wilson/Louis Djalili/Ben Woodford/Nathan Penney/Zoe Smith/Miguel Barrulas/Andrew Houghton/Sandra Jareno Ripoll/Jase Neal/David Levey/,2018-02-28,Stef Smith,by Stef Smith,by Stef Smith,28 February-3 March 2018,In House,Swallow,show,New Theatre,2017-18
Jayne Etherington/Charlie Basley/Lillian Race/Owen Davies/,Emma Summerton/Maggie Dorling/Dave Porter/Ian Webster/Will Peters/Sandra Jareno Ripoll/Jess Donn/Annabel Freer/Annie Clayton/Harry Fleet/,2017-11-13,Emma Summerton,by Emma Summerton,by Emma Summerton,13-14 November 2017,Fringe,The Devil You Know,show,New Theatre Studio A,2017-18
Luke Slater/Lois Baglin/Kate Maguire/Louis Djalili/,Felicity Chilver/Rosie Hudson/Ben Woodford/Ed Eggleton/Sam Osborne/Joe Strickland/Andrew Houghton/Georgi Paxton/Tom Proffitt/Sam Osborne/Rohanna Brown/Darcey Graham/Zoe Smith/Adam Frankland/Jakub Kolek/Nathan Penney/Hannah Burne/Sam Morris/Amy Crighton/,2017-11-8,Lucy Prebble,by Lucy Prebble,by Lucy Prebble,8-11 November 2017,In House,The Effect,show,New Theatre,2017-18
Will Willmane/Ola Czerwiakowska/Laura De Simoni/Fabio Gentile/Sharmilla Sunsurooah/Julie Liao/Julie Daujat/Lola Vazquez Peraita/Carmine Napoli/Judy Zhao/Adele Nasti/Carla Martin Clave/Cate Zerega/Pete Iwanciw/Pietro Luizzo Scorpo/Ulli Kuchner/Esther Camacho Cerezo/Mariele Valci/Andrés Vallellano/,Julie Daujat/Chris Ward/Sam Osborne/Beatrice Wallbank/Felipe Maykot/Eugenio Del Nobile/Sam Cooper/,2018-01-24,Joel Horwood,by Joel Horwood,by Joel Horwood,24-27 January 2018,Postgrads,This Changes Everything,show,New Theatre,2017-18
Miguel Barrulas/Georgie Brand/Grace Williams/Emma Pallett/Cameron Brett/Emma Summerton/Jamie Watt/,Ben Standish/Dilly Hoyt/Zoe Smith/James Fox/Sam Osborne/Rory Brown/Lewis Scott/Laura Wolczyk/Felicity Chilver/Rohanna Brown/Hannah Burne/Sam Osborne/Rohanna Brown/Will Berrington/Tom Proffitt/Ben Woodford/Sandra Jareno Ripoll/Sasha Gibson/Jack Ellis/,2017-12-6,Collectif OS'O,by Collectif OS'O,by Collectif OS'O; Translated by Ben Standish,6-9 December 2017,In House,Timon/Titus by William Shakespeare,show,New Theatre,2017-18
Gemma Walton/Danni Cooper/Florian Grote/Matt Marceau/Matthew Thomas/Nadia Elafi/Sarah Ward/Molly Johnstone/Ewa Rubaszewska/Ronan Sullivan/Daniel Morris/Yasmine Dankwah/Marsya Hazanan/,Jamie Drew/Isaac Weinstock/Yasmine Dankwah/Marsya Hazanan/Angharad Davies/Laura Wolczyk/Jess Donn/Sam Osborne/Sam Osborne/Laura Wolczyk/Emily Wong/Zehra Torun/Beth Mullen/,2018-02-05,null,Devised by Crew,Devised by Crew,5-7 February 2018,External,Wishful Thinking,show,New Theatre,2017-18
Chris Trueman/Emma White/Callum Walker/Felicity Chilver/Andrew Houghton/Miguel Barrulas/,Chris Trueman/Amy Crighton/Adam Frankland/Ian Sheard/,2017-09-25,null,Devised,Devised,25-26 September 2017,Lakeside,Wrecked,show,Djanogly Theatre,2017-18
John Izbicki/,Gamini Salgado/,NA,Christopher Marlowe,by Christopher Marlowe,by Christopher Marlowe,1950-51 (Dates Unknown),In House,Dr Faustus,show,Trent/Great Hall,1950-51
John Izbicki/,Gamini Salgado/,NA,Ernst Toller,by Ernst Toller,by Ernst Toller,1950-51 (Dates Unknown),In House,No More Peace,show,Trent/Great Hall,1950-51
NA,Gamini Salgado/,1952-02-27,null,Playwright Unknown,Playwright Unknown; Translated by Harry McWilliam,27-27 February 1952,In House,Each In His Own Way,show,Trent/Great Hall,1951-52
John Izbicki/,Rosemary England/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1951-52 (Dates Unknown),In House,Richard III,show,Trent/Great Hall,1951-52
NA,NA,1951-11-21,Thomas Middleton and William Rowley,by Thomas Middleton and William Rowley,by Thomas Middleton and William Rowley,21-24 November 1951,In House,The Changeling,show,Trent/Great Hall,1951-52
John Izbicki/,Rosemary England/,NA,Ben Jonson,by Ben Jonson,by Ben Jonson,1951-52 (Dates Unknown),In House,Volpone,show,Trent/Great Hall,1951-52
John Izbicki/,John Izbicki/,NA,Wedekind,by Wedekind,by Wedekind; Translated by John Izbicki,1952-53 (Dates Unknown),In House,Erdgeist,show,Trent/Great Hall,1952-53
NA,NA,NA,Frank Wedekind,by Frank Wedekind,by Frank Wedekind,1953-54 (Dates Unknown),In House,Earth Spirit,show,null,1953-54
NA,NA,NA,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,1954-55 (Dates Unknown),In House,The Cherry Orchard,show,null,1954-55
NA,NA,NA,Philip Barry,by Philip Barry,by Philip Barry,1954-55 (Dates Unknown),In House,The Philadelphia Story,show,null,1954-55
NA,NA,NA,Jean-Paul Sartre,by Jean-Paul Sartre,by Jean-Paul Sartre,1955-56 (Dates Unknown),In House,Huis Clos,show,null,1955-56
NA,NA,NA,Sean O'Casey,by Sean O'Casey,by Sean O'Casey,1955-56 (Dates Unknown),In House,June and the Paycock,show,null,1955-56
NA,NA,NA,Ben Johnson,by Ben Johnson,by Ben Johnson,1955-56 (Dates Unknown),In House,The Alchemist,show,null,1955-56
NA,NA,NA,Sean O'Casey,by Sean O'Casey,by Sean O'Casey,1955-56 (Dates Unknown),In House,The End of the Beginning,show,null,1955-56
NA,NA,NA,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,1955-56 (Dates Unknown),In House,The Proposal,show,null,1955-56
NA,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1956-57 (Dates Unknown),In House,Measure for Measure,show,null,1956-57
NA,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1956-57 (Dates Unknown),In House,Twelfth Night,show,null,1956-57
NA,NA,NA,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,1957-58 (Dates Unknown),In House,The Bald Prima Donna,show,null,1957-58
NA,NA,NA,John Ford,by John Ford,by John Ford,1957-58 (Dates Unknown),In House,'Tis Pity She's A Whore,show,null,1957-58
Val Deans/,NA,NA,Sophocles,by Sophocles,by Sophocles,1958-59 (Dates Unknown),In House,Antigone,show,null,1958-59
NA,NA,NA,Arthur Miller,by Arthur Miller,by Arthur Miller,1958-59 (Dates Unknown),In House,Death of a Salesman,show,null,1958-59
Val Deans/,NA,NA,John Patrick,by John Patrick,by John Patrick,1958-59 (Dates Unknown),In House,Teahouse of the August Moon,show,null,1958-59
Val Deans/,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1959-60 (Dates Unknown),In House,Taming of the Shrew,show,null,1959-60
Val Deans/,NA,NA,Arthur Miller,by Arthur Miller,by Arthur Miller,1959-60 (Dates Unknown),In House,The Crucible,show,null,1959-60
NA,NA,NA,Christopher Marlowe,by Christopher Marlowe,by Christopher Marlowe,1961-62 (Dates Unknown),In House,Edward II,show,null,1961-62
NA,NA,1962-07-14,George Bernard Shaw,by George Bernard Shaw,by George Bernard Shaw,14 July 1962,In House,St Joan,show,Minack Theatre/Cornwall,1961-62
NA,NA,NA,Arnold Wesker,by Arnold Wesker,by Arnold Wesker,1963-64 (Dates Unknown),In House,Chips with Everything,show,Cripps Hall,1963-64
NA,NA,1964-07-13,William Shakespeare,by William Shakespeare,by William Shakespeare,13 July 1964,In House,King Lear,show,Minack Theatre/Cornwall,1963-64
NA,NA,1964-03-03,John Mortimer,by John Mortimer,by John Mortimer,3 March 1964,In House,Lunch Hour,show,null,1963-64
NA,NA,NA,William Wycherley,by William Wycherley,by William Wycherley,1963-64 (Dates Unknown),In House,The Country Wife,show,Trent/Great Hall,1963-64
NA,NA,1964-02-27,Harold Pinter,by Harold Pinter,by Harold Pinter,27-29 February 1964,In House,The Dumb Waiter and The Collection,show,Trent/Great Hall,1963-64
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1964-65 (Dates Unknown),In House,All in a Polly Ethylene Bag,show,null,1964-65
NA,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1964-65 (Dates Unknown),In House,King Lear,show,Trent/Great Hall,1964-65
NA,NA,1965-02-25,James Saunders,by James Saunders,by James Saunders,25-27 February 1965,In House,Next Time I'll Sing To You,show,Cripps Hall Library,1964-65
NA,NA,NA,Friedrich Dürrenmatt,by Friedrich Dürrenmatt,by Friedrich Dürrenmatt,1964-65 (Dates Unknown),In House,The Visit,show,null,1964-65
NA,NA,1965-11-24,Max Frisch,by Max Frisch,by Max Frisch,24-27 November 1965,In House,Andorra,show,Trent/Great Hall,1965-66
Tom Daniel/Ken Turner/Graham Howells/Anthony Dawson/Seton McNeill/Dalton Diamond/Christopher Potts/R Cook/S Howard/S Hillaby/L Rowberry/J Wrigglesworth/,L Brown/Graham Howells/John Bennett/Alwyn Cooper/David Osborne/S Trussler/L Davies/J Powis/Technical Committee/Martin Davis/,1966-03-16,Morland Cary,by Morland Cary,by Morland Cary,16-19 March 1966,In House,Love Rides the Rails,show,New Theatre,1965-66
Ned Oakley/Stuart Smith/Vanessa Martin/Liz Houlton/Angela Lewi/Adrienne Gerber/Peter Cox/Douglas Livingstone/Douglas Wilmer/Jeremy Longhurst/Graham Crowden/Graham Armitage/,Roger Lancaster/Jenny Lapage/,1966-07-04,NF Simpson,by NF Simpson,by NF Simpson,4-5 July 1966,In House,One Way Pendulum,show,New Theatre,1965-66
Dick Downing/,Roger Lancaster/,NA,James Saunders,by James Saunders,by James Saunders,1966-67 (Dates Unknown),In House,A Scent of Flowers,show,null,1966-67
Martin Lees/Roger Lancaster/Tim Daniels/Dick Downing/Jo Roselman/Fidel Backhouse/John Turner/,NA,1966-06-26,Kieth Miller,by Kieth Miller,by Kieth Miller,26-29 June 1966,In House,Count Ciano and the Nazis,show,Trent/Great Hall,1966-67
John Turner/Dick Downing/John Holmes/Gordon Parsons/,Roger Lancaster/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1966-67 (Dates Unknown),In House,Macbeth,show,null,1966-67
NA,NA,1970-01-14,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen,14-17 January 1970,In House,Ghosts,show,New Theatre,1969-70
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1971-72 (Dates Unknown),Edinburgh,Beneath the Daschund,show,unknown,1971-72
NA,NA,NA,Tom Seward,by Tom Seward,by Tom Seward,1971-72 (Dates Unknown),Edinburgh,Cal - A Pantomime out of Season,show,unknown,1971-72
NA,Jamie Justham/,NA,Christopher Marlowe,by Christopher Marlowe,by Christopher Marlowe,1971-72 (Dates Unknown),In House,Edward II,show,Trent/Great Hall,1971-72
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1971-72 (Dates Unknown),In House,Festival of One Act Plays,show,null,1971-72
NA,NA,NA,T.S.Eliot,by T.S.Eliot,by T.S.Eliot,1971-72 (Dates Unknown),In House,The Cocktail Party,show,Trent Building,1971-72
NA,NA,NA,George S. Kaufman and Alexander Woollcott,by George S. Kaufman and Alexander Woollcott,by George S. Kaufman and Alexander Woollcott,1971-72 (Dates Unknown),In House,The Dark Tower,show,Trent Building,1971-72
John Haseler/,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1971-72 (Dates Unknown),In House,The Winter's Tale,show,null,1971-72
Janis Bryan/,Rod Craig/,NA,Dylan Thomas,by Dylan Thomas,by Dylan Thomas,1971-72 (Dates Unknown),In House,Under Milk Wood,show,null,1971-72
NA,NA,NA,Joe Orton,by Joe Orton,by Joe Orton,1972-73 (Dates Unknown),In House,Erpingham Camp,show,New Theatre,1972-73
Janis Bryan/,NA,NA,Anon,by Anon,by Anon,1972-73 (Dates Unknown),In House,Everyman,show,New Theatre,1972-73
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1972-73 (Dates Unknown),In House,Festival of One Act Plays,show,New Theatre,1972-73
Mick Fuller/Mary Georgievsky/Alan Harris/Clive Tyldesley/Tim Sluckin/Desore Springett/,Mike Fuller/Jom Cowell/Nick Bradury/Tony Ireland/Sarah Hughes/,1973-08-18,null,Playwright Unknown,Playwright Unknown,18 August-1 September 1973,Edinburgh,Kettledrumming,show,Herriot Watt Building,1972-73
Mike Pursell/Andrew Gould/Nick Pease/Ian Noble/John Ironmonger/Laurence George/Tim Sluckin/Stuart Pearson/John Haseler/Peter Rushton/Charles Barnecut/John Shaw/Ron Ringer/Sue Burgess/Frances Macdonald/Sue Compston/Faye Harding/Nettye Lamkay/,Tony Ireland/Julie Brown/Martin Hughes/Gerald Mullord/Bob Sharpe/Richard Atkinson/Alan Green/Judith Fabian/Anne Matthews/Cyndy Manton/Rosaleen Keane/Diane Holmes/Valerie Hurst/Gail-Nina Anderson/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1972-73 (Dates Unknown),In House,Measure for Measure,show,New Theatre,1972-73
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1972-73 (Dates Unknown),In House,Messidor,show,New Theatre,1972-73
Janis Bryan/,NA,NA,Heinrich von Kleist,by Heinrich von Kleist,by Heinrich von Kleist,1972-73 (Dates Unknown),In House,Penthesilea,show,New Theatre,1972-73
Lynn Myers/,NA,NA,Maureen Duffy,by Maureen Duffy,by Maureen Duffy,1972-73 (Dates Unknown),In House,Rites,show,null,1972-73
NA,NA,NA,Joe Orton,by Joe Orton,by Joe Orton,1972-73 (Dates Unknown),In House,Ruffian on the Stair,show,New Theatre,1972-73
Janis Bryan/,NA,1973-02-19,David Hare,by David Hare,by David Hare,19-23 February 1973,In House,Slag,show,New Theatre,1972-73
NA,NA,1973-02-24,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,24 February-1 March 1973,In House,The Glass Menagerie,show,New Theatre,1972-73
Tim Sluckin/,NA,NA,John Ford,by John Ford,by John Ford,1972-73 (Dates Unknown),In House,'Tis Pity She's A Whore,show,New Theatre,1972-73
Charles Barnecut/Janis Bryan/Sue Compston/Mark Everett/Larry George/Martin Holland/Nick Pease/Peter Rushton/Tim Sluckin/Frank Ward/,Frank Ward/Jom Cowell/Nick Bradury/Tony Ireland/Sarah Hughes/,1973-08-18,Slawomir Mrozek,by Slawomir Mrozek,by Slawomir Mrozek; Translated by Ralph Manheim,18 August-1 September 1973,Edinburgh,Vatzlav,show,Herriot Watt Building,1972-73
Janis Bryan/,NA,1973-03-03,Edward Albee,by Edward Albee,by Edward Albee,3-7 March 1973,In House,Who's Afraid of Virginia Woolf,show,New Theatre,1972-73
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1973-74 (Dates Unknown),In House,Susie,show,New Theatre,1973-74
John Thewlis/,Mark Everett/,NA,William Wycherley,by William Wycherley,by William Wycherley,1973-74 (Dates Unknown),In House,The Country Wife,show,New Theatre,1973-74
NA,NA,1974-01-21,Max Frisch,by Max Frisch,by Max Frisch,21-26 January 1974,In House,The Fire Raisers,show,New Theatre,1973-74
NA,NA,1973-11-05,John Mortimer,by John Mortimer,by John Mortimer,5-9 November 1973,In House,Lunch Hour,show,New Theatre,1973-74
NA,NA,NA,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,1973-74 (Dates Unknown),In House,The Real Inspector Hound,show,New Theatre,1973-74
Susan Elliott/Nigel Hughes/Ed Nally/Nick Downing/Anne Murphy/Geoff Rayson/Diane Gregson/Danny Sullivan/Jackie Huthwaite/Alvin Downie/Sue Middleton/John Napier/Catherine Churchill/Claire Rothwell/Tim Sluckin/Nick Williams/Graham Compton/Sharon Broddel/Richard Truman/Valerie Hodgkinson/Andrew Pearson/Sheridan Davis/Kier Barry/Hugh Simon/Chris Brazier/Charles Dunnett/Charle Barnecutt/Stephen Hopker/Chris Herbert/Tino Kay/,John Thewlis/Ric Shield/Eugene Hedley/Ken Marshall/Andy Reeves/Terry Chapman/Geinwen Rowlands/Ruth Long/Crispin Harris/Catherine Churchill/Anne Davis/Dorrie Cook/Susan White/Jim Cowell/Trevor Dryson/Martin Roff/Tim Hunt/Archie Roberts/Janet Bell/Lesley Foxton/Tyrel S Broadbent/,1974-11-20,Jerome Lawrence and Robert Edwin Lee,by Jerome Lawrence and Robert Edwin Lee,by Jerome Lawrence and Robert Edwin Lee,20-22 November 1974,In House,Inherit the Wind,show,Portland Ballroom,1974-75
Hugh Simon/Kevin Buxton/Chris Brazier/Ian Noble/Stephen Hopker/Andrew Pearson/Ed Nally/Simon Bennett/Diane Gregson/Susan Elliott/Sheridan Davis/Valerie Hodgkinson/,Lynn Myers/Gill Brand/Colin Bill/Colin Bill/Peter Webb/Jonathan Pumfrey/Crispin Harris/Nottingham Playhouse/Gill Brand/,1975-03-03,Molière,by Molière,by Molière,3-8 March 1975,In House,The Imaginary Invalid,show,New Theatre,1974-75
John Thewlis/,NA,NA,Bertolt Brecht,by Bertolt Brecht,by Bertolt Brecht,1974-75 (Dates Unknown),In House,The Threepenny Opera,show,New Theatre,1974-75
Heather Peace/,NA,NA,null,Playwright Unknown,Playwright Unknown,1975-76 (Dates Unknown),In House,Aberald and Heloise,show,New Theatre,1975-76
NA,NA,1975-11-19,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,19-22 November 1975,In House,Black Comedy,show,New Theatre,1975-76
Jon Turner/Kevin Buxton/John Thewlis/,Simon Reynolds/,NA,Albert Camus,by Albert Camus,by Albert Camus,1975-76 (Dates Unknown),In House,Caligula,show,New Theatre,1975-76
Nick Frost/Matthew Bannister/Ed Nally/Frank Maryland/Stephen Hopker/Nick Williams/Andrew Pearson/Jon Turner/John Thewlis/Hugh Simon/,Hugh Simon/Chris Toms/Peter Hart/John Thewlis/Jon/,1975-11-11,R.C.Sherriff,by R.C.Sherriff,by R.C.Sherriff,11-15 November 1975,In House,Journey's End,show,New Theatre,1975-76
NA,NA,1976-08-19,null,Playwright Unknown,Playwright Unknown,19 August-4 September 1976,Edinburgh,Nightcapa revue,show,Broughton High School,1975-76
Crispin Harris/John Thewlis/Fiona Brown/Nick Williams/Eileen Coan/,Nick Downing/Liz Guy/Chris Herbert/John Parry/Joe Bicarregi/John Comley/Mike Russell/Cath Churchill/,1975-10-10,John Burrows and John Harding,by John Burrows and John Harding,by John Burrows and John Harding,10-11 October 1975,In House,The Golden Pathway Annual,show,New Theatre,1975-76
NA,NA,1976-08-23,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,23 August-4 September 1976,Edinburgh,The Picture of Dorian Gray,show,Broughton High School,1975-76
Heather Peace/Arthur Cummins/Hugh Simon/Terri Norris/Eileen Coen/Haydn Gwynne/John Thewlis/Kevin Buxton/Simon Keating/Peter Cantrell/Crispin Harris/,Jon Turner/,1975-11-25,Dostoevsky,by Dostoevsky,by Dostoevsky,25-29 November 1975,In House,The Possessed,show,New Theatre,1975-76
NA,Mark McKeown/,NA,JP Donleavy,by JP Donleavy,by JP Donleavy,1975-76 (Dates Unknown),In House,The Saddest Summer of Samuel S,show,New Theatre,1975-76
NA,NA,1975-10-10,null,Playwright Unknown,Playwright Unknown,10-12 October 1975,In House,University Revue '75,show,New Theatre,1975-76
NA,NA,NA,Stephen Poliakoff,by Stephen Poliakoff,by Stephen Poliakoff,1976-77 (Dates Unknown),In House,City Sugar,show,New Theatre,1976-77
Geraldine Slinger/Jon Turner/Tim Killick/Faith Chandler/Gail Newton/,Heather Peace/,NA,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen,1976-77 (Dates Unknown),In House,Hedda Gabler,show,New Theatre,1976-77
Andrew Hubbard/Michael Addison/Peter Fogg/Philip Orchard/John Yelton/Melanie Comley/Beverly Baker/Diane Higginson/Margaret Atkin/Lybda Shepherd/Jane Cole/Florence Baxter/Catherine Bosshardt/Cathy Clowes/Margaret Gordon/Angela Griffiths/Barbara Houghton/Wendy Jenkins/Helen Marshall/Susan McCraken/Lynette McEwan/Susan Munroe/Sarah Payler/Marion Stearn/Hilary Tint/Margaret Vince/Diane Walton/Joy Williams/Julia Whittaker/Catherine Dinn/Victor Crewes/??ul Adam/Philip Dean/Alan Gould/Jeremy Harvey/Bernard Haylett/Andy Job??g/David Johnson/David Lee/James Macey/Mike Steven/Martin Sach/Paul Benyon/,T Francis/X Coxhead/Margaret Clark/Mick Vale/Pete Wells/Colin Bill/Jonathan Barstow/Debby Daives/Martin Catmur/Pete Dowson/Lynne Harrison/John Schwiller/Jane Sherriff/Rosie Morgan/David Morgan/Russell Keable/Janet Oldham/Alison Smith/John Culley/Rebecca Philips/Caroline Smith/Carol Cleal/Jane Disley/David Edwards/Rosemary Howard/Suparmi Saunders/Diana Kemp/Jackie Morrice/Edward Barnett/David Morley/Chris Arnold/Jon Gathercole/Andrew Barlow/Dr Keith Wilkinson/Rosie Johnson/Anna Holkham/Gavin Ogilvie/Hazel Chapman/,1976-12-07,Gilbert & Sullivan,by Gilbert & Sullivan,by Gilbert & Sullivan,7-11 December 1976,In House,Iolanthe,show,New Theatre,1976-77
NA,Heather Peace/,NA,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,1976-77 (Dates Unknown),In House,A One Act play,show,New Theatre,1976-77
Hugh Simon/Nick Williams/Rosemary Farrar/Sue Candy/Haydn Gwynne/Terri Norris/Jon Turner/Joe Biccaragie/,Matthew Bannister/Chris Toms/,NA,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,1976-77 (Dates Unknown),In House,The Importance of Being Earnest,show,New Theatre,1976-77
NA,NA,NA,John Fletcher and William Shakespeare,by John Fletcher and William Shakespeare,by John Fletcher and William Shakespeare,1976-77 (Dates Unknown),In House,The Two Noble Kinsmen,show,New Theatre,1976-77
NA,NA,NA,Robert Bolt,by Robert Bolt,by Robert Bolt,1977-78 (Dates Unknown),In House,A Man for All Seasons,show,New Theatre,1977-78
NA,NA,NA,James Saunders,by James Saunders,by James Saunders,1977-78 (Dates Unknown),In House,A Scent of Flowers,show,New Theatre,1977-78
Crispin Harris/Peter Holdway/Sally Thompson/Tim Killick/,Matthew Bannister/Michael Szpakowski/Adrian Bassett/Alison Lumb/Peter Sells/Patrick Grice/Alison Lumb/Ruth McNally/Fran Casey/Julie Cope/Chris Toms/Lynne Harrison/Clive Loughlin/Andy Moseley/Pete Wasylko/Patrick Grice/Vernon Larcombe/Rosemary Farrar/,NA,Howard Bird/Crispin Harris and Tim Killick,by Howard Bird/Crispin Harris and Tim Killick,by Howard Bird/Crispin Harris and Tim Killick,1977-78 (Dates Unknown),Edinburgh,Around the Bend in 60 Minutes,show,Cephas Cellar,1977-78
NA,Heather Peace/,NA,null,Playwright Unknown,Playwright Unknown,1977-78 (Dates Unknown),In House,Caligula and Loot,show,New Theatre,1977-78
Malcolm Turner/Rob Jones/Tim Killick/Sue Candy/Jude Frow/Ruth McNally/Karen Omer/Annie Lloyd/,Richard Simpson/Ruth McNally/Huw Feather/Nami Longman/Nicky Sandford/Patrick Grice/Alison Lumb/Ruth McNally/Fran Casey/Julie Cope/Chris Toms/Lynne Harrison/Clive Loughlin/Andy Moseley/Pete Wasylko/Patrick Grice/Vernon Larcombe/Rosemary Farrar/,NA,Howard Brenton,by Howard Brenton,by Howard Brenton,1977-78 (Dates Unknown),Edinburgh,Christie in Love,show,Cephas Cellar,1977-78
NA,Heather Peace/,NA,Edward Bond,by Edward Bond,by Edward Bond,1977-78 (Dates Unknown),In House,Early Morning,show,New Theatre,1977-78
NA,Chris Toms/,1977-11-22,Noël Coward,by Noël Coward,by Noël Coward,22-26 November 1977,In House,Private Lives,show,New Theatre,1977-78
Geraldine Slinger/Peter Holdway/,Patrick Grace/Alison Lumb/,NA,null,Playwright Unknown,Playwright Unknown,1977-78 (Dates Unknown),In House,Summer Term,show,New Theatre,1977-78
